rang,nom,equipe,is_goalie,valeur
281,Mattias Samuelsson,BUF,0,37
282,Andre Burakovsky,OTT,0,37
283,Morgan Rielly,TOR,0,37
284,Cole Sillinger,CBJ,0,37
285,Noah Laba,NYR,0,37
286,Justin Brazeau,PIT,0,37
287,Boone Jenner,WSH,0,37
288,Ryan Leonard,WSH,0,37
289,Matthew Wood,NSH,0,37
290,Victor Olofsson,VGK,0,37
291,Marat Khusnutdinov,BOS,0,36
292,Eetu Luostarinen,FLA,0,36
293,Kent Johnson,CBJ,0,36
294,Damon Severson,CBJ,0,36
295,Jean-Gabriel Pageau,NYI,0,36
296,Anthony Duclair,CHI,0,36
297,Roman Kantserov,STL,0,36
298,Cam Fowler,WPG,0,36
299,Adam Lowry,LAK,0,36
300,Erik Haula,VGK,0,36
301,Trevor Connelly,BOS,0,35
302,James Hagens,BOS,0,35
303,Mason Lohrei,FLA,0,35
304,Aaron Ekblad,MTL,0,35
305,Zachary Bolduc,MTL,0,35
306,Mike Matheson,OTT,0,35
307,Michael Amadio,PHI,0,35
308,Sean Couturier,PHI,0,35
309,Travis Sanheim,PHI,0,35
310,Kristopher Letang,PIT,0,35
311,Sam Malinski,COL,0,35
312,Barrett Hayton,UTA,0,35
313,Matvei Gridin,CGY,0,35
314,Ryan Shea,EDM,0,35
315,Dmitri Orlov,SJS,0,35
316,Brett Howden,VGK,0,35
317,Noah Hanifin,VGK,0,35
318,Emmitt Finnie,DET,0,34
319,Oliver Kapanen,MTL,0,34
320,Jordan Spence,OTT,0,34
321,Jaccob Slavin,CAR,0,34
322,Mathieu Olivier,CBJ,0,34
323,Ryan Greene,CHI,0,34
324,Brady Skjei,NSH,0,34
325,Dalibor Dvorsky,STL,0,34
326,John Marino,UTA,0,34
327,Pavel Mintyukov,ANA,0,34
328,Ryan Strome,CGY,0,34
329,Kasperi Kapanen,EDM,0,34
330,Ilya Protas,WSH,0,33
331,Nicolas Roy,COL,0,33
332,Ross Colton,NSH,0,33
333,Yegor Sharangovich,CGY,0,33
334,Jake Evans,MTL,0,32
335,Ilya Mikheyev,TBL,0,32
336,J.J. Moser,TBL,0,32
337,Nick Paul,TOR,0,32
338,Oliver Ekman-Larsson,TOR,0,32
339,Seth Jarvis,CAR,0,32
340,Jordan Staal,CAR,0,32
341,Ivan Provorov,CBJ,0,32
342,Cody Glass,NJD,0,32
343,Oliver Moore,CHI,0,32
344,Artyom Levshunov,CHI,0,32
345,Justin Hryckowian,CHI,0,32
346,Neal Pionk,WPG,0,32
347,Darnell Nurse,EDM,0,32
348,Marco Kasper,DET,0,32
349,Simon Edvinsson,DET,0,31
350,Dominic James,DET,0,31
351,Teddy Blueger,TBL,0,31
352,Bradly Nadeau,CAR,0,31
353,Alex Bump,CAR,0,31
354,Denver Barkey,PHI,0,31
355,Cam York,PHI,0,31
356,Blake Lizotte,PHI,0,31
357,Justin Sourdif,PIT,0,31
358,Parker Kelly,WSH,0,31
359,Maxim Shabanov,COL,0,31
360,Kailer Yamamoto,MIN,0,31
361,Simon Nemec,CGY,0,31
362,Sam Dickinson,SJS,0,31
363,Tom Willander,VAN,0,31
364,Hampus Lindholm,BOS,0,30
365,Axel Sandin Pellikka,DET,0,30
366,Vladislav Gavrikov,NYR,0,30
367,Martin Fehervary,WSH,0,30
368,Gustav Forsling,FLA,0,29
369,Charle-Edouard D'Astous,TBL,0,29
370,Jacob Trouba,SJS,0,29
371,Olen Zellweger,BUF,0,28
372,Carter Yakemchuk,OTT,0,28
373,Ryan Pulock,NYI,0,28
374,Marcus Pettersson,NYR,0,28
375,Josh Manson,COL,0,28
376,Brent Burns,COL,0,28
377,Esa Lindell,DAL,0,27
378,Jonas Brodin,MIN,0,27
379,Ryan McDonagh,TBL,0,26
380,Jake McCabe,TOR,0,26
381,Logan Mailloux,STL,0,26
382,Colton Parayko,STL,0,26
1,Andrei Vasilevskiy,TBL,1,37
2,Jesper Wallstedt,MIN,1,36
3,Jake Oettinger,DAL,1,34
4,Jeremy Swayman,BOS,1,33
5,Logan Thompson,WSH,1,33
6,Igor Shesterkin,NYR,1,32
7,Karel Vejmelka,UTA,1,32
8,Jakub Dobes,MTL,1,30
9,Linus Ullmark,OTT,1,30
10,Daniel Vladar,PHI,1,30
11,Jacob Markstrom,FLA,1,29
12,Ilya Sorokin,NYI,1,29
13,Juuse Saros,NSH,1,29
14,Lukas Dostal,ANA,1,29
15,Ukko-Pekka Luukkonen,BUF,1,28
16,Jet Greaves,CBJ,1,28
17,Mackenzie Blackwood,COL,1,28
18,Scott Wedgewood,COL,1,27
19,John Gibson,DET,1,26
20,Brandon Bussi,CAR,1,26
21,Yaroslav Askarov,SJS,1,26
22,Carter Hart,VGK,1,26
23,Pyotr Kochetkov,CAR,1,25
24,Jake Allen,NJD,1,24
25,Arturs Silovs,PIT,1,24
26,Joel Hofer,STL,1,24
27,Connor Hellebuyck,WPG,1,24
28,Joey Daccord,SEA,1,24
29,Akira Schmid,FLA,1,23
30,Sergei Bobrovsky,TOR,1,23
31,Spencer Knight,CHI,1,23
32,Frederik Andersen,EDM,1,23
33,Dustin Wolf,CGY,1,21
34,Alex Lyon,BUF,1,20
35,Adin Hill,VGK,1,20
36,Jacob Fowler,VGK,1,20
37,Anton Forsberg,,1,19
38,Anthony Stolarz,,1,19
39,David Rittich,,1,18
40,Tristan Jarry,,1,18
