rang,nom,equipe,is_goalie,valeur
241,Braeden Bowman,VGK,0,35
242,Cole Sillinger,CBJ,0,35
243,Andre Burakovsky,OTT,0,35
244,Victor Olofsson,VGK,0,34
245,Bobby Brink,MIN,0,34
246,Kiefer Sherwood,SJS,0,34
247,Ryan Donato,CHI,0,34
248,Jordan Staal,CAR,0,34
249,Zachary Bolduc,MTL,0,34
250,Emmitt Finnie,DET,0,34
1,Cale Makar,COL,0,91
2,Quinn Hughes,MIN,0,90
3,Evan Bouchard,EDM,0,88
4,Zach Werenski,CBJ,0,87
5,Lane Hutson,MTL,0,85
6,Rasmus Dahlin,BUF,0,82
7,Miro Heiskanen,DAL,0,75
8,Charlie McAvoy,BOS,0,68
9,Matthew Schaefer,NYI,0,66
10,Adam Fox,NYR,0,66
11,Jackson Lacombe,ANA,0,65
12,Jake Sanderson,OTT,0,64
13,Mikhail Sergachev,UTA,0,63
14,Jakob Chychrun,WSH,0,62
15,Erik Karlsson,PIT,0,62
16,John Carlson,TBL,0,62
17,Brock Faber,MIN,0,61
18,Roman Josi,NSH,0,60
19,Moritz Seider,DET,0,60
20,Darren Raddysh,TOR,0,58
21,Josh Morrissey,WPG,0,57
22,Bowen Byram,CHI,0,56
23,Shayne Gostisbehere,CAR,0,55
24,Seth Jones,FLA,0,51
25,Victor Hedman,TBL,0,50
26,Noah Dobson,MTL,0,49
27,Shea Theodore,VGK,0,48
28,Brandt Clarke,LAK,0,48
29,Vince Dunn,SEA,0,46
30,Dougie Hamilton,NJD,0,44
31,Thomas Harley,DAL,0,44
32,K'Andre Miller,CAR,0,43
33,Thomas Chabot,OTT,0,43
34,Brandon Montour,SEA,0,42
35,Luke Hughes,NJD,0,42
36,Rasmus Andersson,VGK,0,41
37,Sam Malinski,COL,0,41
38,Mattias Samuelsson,BUF,0,40
39,Travis Sanheim,PHI,0,40
40,Philip Broberg,STL,0,40
41,Cole Hutson,WSH,0,39
42,Mike Matheson,MTL,0,39
43,Dmitri Orlov,SJS,0,39
44,Noah Hanifin,VGK,0,38
45,Tony DeAngelo,NYI,0,38
46,Filip Hronek,VAN,0,38
47,Devon Toews,COL,0,37
48,Mattias Ekholm,EDM,0,37
49,Oliver Ekman-Larsson,TOR,0,37
50,Denton Mateychuk,CBJ,0,36
51,Zayne Parekh,CGY,0,36
52,Kris Letang,PIT,0,36
53,Alexander Nikishin,CAR,0,35
54,Jamie Drysdale,PHI,0,35
55,Gustav Forsling,FLA,0,35
56,Owen Power,BUF,0,34
57,John Marino,UTA,0,34
58,Aaron Ekblad,FLA,0,33
59,Neal Pionk,WPG,0,33
60,Justin Faulk,DET,0,32
61,Morgan Rielly,TOR,0,32
62,Artyom Levshunov,CHI,0,32
63,Jake Walman,EDM,0,31
64,Vladislav Gavrikov,NYR,0,31
65,Brent Burns,COL,0,31
66,J.J. Moser,TBL,0,31
67,Cam Fowler,STL,0,31
68,Jordan Spence,OTT,0,31
69,Damon Severson,CBJ,0,30
70,Hampus Lindholm,BOS,0,30
71,Ivan Provorov,CBJ,0,30
72,Carter Yakemchuk,OTT,0,30
73,Simon Nemec,CGY,0,29
74,Simon Edvinsson,DET,0,29
75,Sean Durzi,NYR,0,29
76,Samuel Girard,PIT,0,29
77,Esa Lindell,DAL,0,29
78,Jacob Trouba,SJS,0,28
79,Zeev Buium,VAN,0,28
80,Mason Lohrei,BOS,0,28
81,Mackenzie Weegar,UTA,0,28
82,Brady Skjei,NSH,0,28
83,Tristan Luneau,ANA,0,28
84,Ryan Shea,EDM,0,28
85,Cam York,PHI,0,28
86,Darnell Nurse,SJS,0,27
87,Adam Larsson,SEA,0,27
88,Sam Rinzel,CHI,0,27
89,Drew Doughty,LAK,0,27
90,Ryan McDonagh,TBL,0,27
91,Colton Parayko,STL,0,27
92,Martin Fehervary,WSH,0,27
93,Artem Zub,OTT,0,27
94,Tom Willander,VAN,0,27
95,Axel Sandin Pellikka,DET,0,26
96,Pavel Mintyukov,ANA,0,26
97,Olen Zellweger,BUF,0,26
98,Charle-Edouard D'Astous,TBL,0,26
99,Sam Dickinson,SJS,0,26
100,Josh Manson,COL,0,26
1,Andrei Vasilevskiy,TBL,1,41
2,Karel Vejmelka,UTA,1,40
3,Jake Oettinger,DAL,1,39
4,Logan Thompson,WSH,1,35
5,Jeremy Swayman,BOS,1,32
6,Jacob Markstrom,FLA,1,30
7,Igor Shesterkin,NYR,1,30
8,Ilya Sorokin,NYI,1,29
9,Mackenzie Blackwood,COL,1,29
10,Brandon Bussi,CAR,1,28
11,Linus Ullmark,OTT,1,27
12,Connor Hellebuyck,WPG,1,27
13,Sergei Bobrovsky,TOR,1,27
14,Lukas Dostal,ANA,1,26
15,Jesper Wallstedt,MIN,1,26
16,Jakub Dobes,MTL,1,26
17,Dan Vladar,PHI,1,26
18,Jet Greaves,CBJ,1,25
19,Joel Hofer,STL,1,25
20,Frederik Andersen,EDM,1,25
21,John Gibson,DET,1,24
22,Ukko-Pekka Luukkonen,BUF,1,24
23,Arturs Silovs,PIT,1,24
24,Juuse Saros,NSH,1,23
25,Yaroslav Askarov,SJS,1,23
26,Scott Wedgewood,COL,1,22
27,Pyotr Kochetkov,CAR,1,22
28,Joey Daccord,SEA,1,22
29,Carter Hart,VGK,1,22
30,Jake Allen,NJD,1,22
31,Spencer Knight,CHI,1,21
32,Akira Schmid,FLA,1,21
33,Dustin Wolf,CGY,1,20
34,Adin Hill,VGK,1,20
